1874	1258	792
1874	999	499
1258	999	405
1874	1963	356
1258	1963	316
999	1258	219
1586	1258	209
1963	999	195
1159	1377	185
1874	1586	184
999	1586	172
999	1963	169
1576	1586	166
1144	1198	164
1586	1792	159
1586	1963	158
1987	1586	155
1874	1440	155
465	1792	153
1576	1258	152
1874	1792	149
1258	1998	148
1576	1963	147
1576	1874	147
999	1792	145
1576	999	144
1874	1998	143
1987	1792	140
1258	1792	140
1120	1586	140
1874	1987	138
1306	1159	136
1377	1159	136
1576	1323	136
465	1586	135
1120	999	134
1987	1258	131
1576	1792	131
1987	419	129
1120	1258	129
1576	1987	129
1586	419	127
1998	999	127
1833	1258	127
203	1586	126
999	419	124
1120	1669	124
1792	1963	123
1987	1963	123
1586	1669	123
1120	1963	123
1120	1987	123
203	1874	122
1874	412	122
1120	1792	122
465	1258	121
1510	1792	120
203	1987	120
1120	1874	120
999	1987	119
1323	1963	119
1576	479	119
1510	465	118
465	419	118
1874	419	117
1576	419	117
1258	419	116
1576	1669	115
1874	1768	114
1120	1576	113
1120	419	113
465	1963	113
1306	1377	112
1987	1768	112
1833	1874	112
999	1669	111
1258	1669	111
1669	1963	111
1510	1586	110
1258	412	110
1510	1669	108
1792	419	107
1120	1323	106
1510	479	105
1987	1669	105
1874	511	104
1510	1258	103
203	1792	103
465	1987	103
1510	1987	102
999	412	101
999	1440	101
1510	999	101
1510	419	101
1258	1440	101
1586	1440	101
1963	1440	100
1669	479	100
1792	479	99
1963	412	99
1510	1963	99
1963	419	98
1323	1440	98
1323	1586	98
1586	412	98
1576	412	98
999	1874	97
1576	1440	97
1963	1258	96
453	1586	96
1120	465	96
1586	479	95
419	412	95
1323	1792	94
1576	203	94
203	412	93
1669	419	93
1963	457	92
999	457	92
1987	412	92
1258	479	91
1874	479	91
1586	457	91
465	479	91
999	479	90
1987	479	90
1120	479	90
1576	457	90
203	1258	89
203	1768	89
1258	457	89
1323	457	89
1120	412	89
465	999	89
1510	1874	88
1874	1323	88
1323	1258	88
1833	1440	88
1987	1440	87
203	419	87
1874	457	87
1874	852	87
453	1258	87
1151	841	87
465	1669	87
80	1159	85
453	1792	85
1586	1839	85
1576	453	85
1792	412	84
1120	1440	84
203	1963	83
453	1963	83
511	1440	82
1323	419	82
453	412	82
453	1987	82
1120	453	82
1120	457	82
999	511	81
1258	1768	81
1878	1963	81
1878	479	81
465	412	81
1987	457	80
203	999	80
203	453	80
457	1440	80
1963	479	79
1874	465	79
329	1987	79
1576	465	79
1792	1440	78
1510	1323	78
1323	999	78
1120	511	78
1878	1792	78
1878	1258	78
1878	1586	78
585	1258	78
1899	1998	77
1258	511	77
1120	558	77
